"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"1","MW001",1,15,16,3,5,5,1068.0444,"8/11/2020","8/15/2020","Sophie",NA,1079.15,11.1056,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"2","MW001",1,4,7,1,2,1,1071.2503,"8/10/2020","8/19/2020","Sophie",NA,1077,5.7497,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"3","MW001",1,4,8,1,2,2,1064.9348,"8/10/2020","8/19/2020","Sophie",NA,1070.08,5.1452,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"4","MW001",1,20,11,3,5,4,1064.5584,"8/12/2020","8/13/2020","Sophie",NA,1068.6,4.0416,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"5","MW001",1,9,46,2,1,4,1065.9172,"8/10/2020","8/18/2020","Sophie",NA,1071.62,5.7028,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"6","MW001",1,13,27,4,2,3,1060.5724,"8/11/2020","8/17/2020","Sophie",NA,1067.63,7.0576,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"7","MW001",1,3,45,2,1,5,1081.6766,"8/10/2020","8/19/2020","Sophie",NA,1088.97,7.2934,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"8","MW001",1,6,38,2,4,5,1068.7493,"8/10/2020","8/19/2020","Kavya",NA,1073.12,4.3707,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"9","MW001",1,13,31,4,2,5,1083.131,"8/11/2020","8/17/2020","Sophie",NA,1089.41,6.279,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"10","MW001",1,4,11,1,4,1,1069.0673,"8/10/2020","8/19/2020","Sophie",NA,1073.04,3.9727,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
