Variable,Chisq,p,PVE,Group,Urbanization
Height before flowering,0,0.5,0,Population,Distance
Height after flowering,0,0.5,0,Population,Distance
LDMC,0.05,0.4115,0.413,Population,Distance
Mortality,0,0.5,1.067,Population,Distance
Ramets before flowering,0,0.5,0.165,Population,Distance
Ramets after flowering,0,0.5,0,Population,Distance
Relative growth rate,0.483,0.2435,1.389,Population,Distance
SLA,0,0.5,0,Population,Distance
D. plexippus abundance,0,0.5,0,Population,Distance
L. clivicollis abundance,0,0.5,0.373,Population,Distance
L. asclepiadis abundance,0.007,0.4566,0.957,Population,Distance
Herbivory before flowering (binary),0,0.5,0,Population,Distance
Herbivory before flowering (quantitative),0,0.5,0,Population,Distance
Herbivory after flowering (binary),0.001,0.4895,0,Population,Distance
Herbivory after flowering (quantitative),0,0.5,0,Population,Distance
Latex exudation,2,0.055,3.946,Population,Distance
Weevil damage (binary),0,0.5,0,Population,Distance
Weevil damage (quantitative),2.144,0.0715,4.356,Population,Distance
Date of first flower,0,0.5,0,Population,Distance
Date of first follicle,0,0.5,0,Population,Distance
Flower size,1.331,0.1245,10.569,Population,Distance
Flowering duration,0,0.5,0.769,Population,Distance
Flowering success,0.115,0.3675,2.045,Population,Distance
Follicles,0,0.5,14.43,Population,Distance
Inflorescences,1.325,0.125,12.878,Population,Distance
Flowers per inflorescence,0.359,0.2745,11.915,Population,Distance
Height before flowering,7.886,0.0025,10.055,Family,Distance
Height after flowering,7.154,0.0035,9.027,Family,Distance
LDMC,0.011,0.459,0.439,Family,Distance
Mortality,3.952,0.0235,7.163,Family,Distance
Ramets before flowering,52.455,<0.001,7.884,Family,Distance
Ramets after flowering,22.59,<0.001,5.826,Family,Distance
Relative growth rate,0,0.5,0,Family,Distance
SLA,0,0.5,0,Family,Distance
D. plexippus abundance,0,0.5,0,Family,Distance
L. clivicollis abundance,0,0.5,0,Family,Distance
L. asclepiadis abundance,5.651,0.0085,3.385,Family,Distance
Herbivory before flowering (binary),0,0.5,0,Family,Distance
Herbivory before flowering (quantitative),0,0.5,0,Family,Distance
Herbivory after flowering (binary),0.315,0.2875,3.729,Family,Distance
Herbivory after flowering (quantitative),1.076,0.1495,4.41,Family,Distance
Latex exudation,3.074,0.04,7.114,Family,Distance
Weevil damage (binary),2.741,0.049,6.715,Family,Distance
Weevil damage (quantitative),3.595,0.029,8.479,Family,Distance
